Geobacillus_kaustophilus	Unknown
Bifidobacterium_aesculapii	Unknown
Marinomonas_fungiae	Unknown
Glaciecola_punicea	Unknown
Gordonia_amicalis	Unknown
Gordonia_polyisoprenivorans	Unknown
Granulicoccus_phenolivorans	Unknown
Halobacillus_kuroshimensis	Unknown
Halorhodospira_halophila	Unknown
Helicobacter_suis	Unknown
Herbaspirillum_huttiense	Unknown
Holospora_undulata	Unknown
Humibacter_albus	Unknown
Hylemonella_gracilis	Unknown
Jiangella_gansuensis	Unknown
Ktedonobacter_racemifer	Unknown
Kurthia_huakuii	Unknown
Lachnoanaerobaculum_saburreum	Unknown
Nostoc_sp	Unknown
Lactococcus_garvieae	Unknown
Lactococcus_raffinolactis	Unknown
Legionella_geestiana	Unknown
Leifsonia_aquatica	Unknown
Leptospira_meyeri	Unknown
Leptospira_weilii	Unknown
Leucobacter_salsicius	Unknown
Auritidibacter_sp	Unknown
Marinilabilia_salmonicolor	Unknown
Marinobacter_nanhaiticus	Unknown
Marinomonas_sp	Unknown
Marivirga_tractuosa	Unknown
Megasphaera_sp	Unknown
Mesoplasma_chauliocola	Unknown
Mesorhizobium_opportunistum	Unknown
Methylobacterium_nodulans	Unknown
Methylophaga_thiooxydans	Unknown
Microbacterium_barkeri	Unknown
Microbispora_rosea	Unknown
Lactobacillus_odoratitofui	Unknown
Stenotrophomonas_acidaminiphila	Unknown
Hansschlegelia_quercus	Unknown
Olsenella_sp	Unknown
Clostridium_polynesiense	Unknown
Paenibacillus_vortex	Unknown
Erwinia_iniecta	Unknown
Mageeibacillus_indolicus	Unknown
Aquitalea_magnusonii	Unknown
Methylomicrobium_alcaliphilum	Unknown
Pseudomonas_kilonensis	Unknown
Devosia_psychrophila	Unknown
Devosia_epidermidihirudinis	Unknown
Paenibacillus_algorifonticola	Unknown
Arthrobacter_psychrochitiniphilus	Unknown
Pseudothermotoga_lettingae	Unknown
Franconibacter_pulveris	Unknown
Yersinia_wautersii	Unknown
Ferrovum_sp	Unknown
Halobacteriovorax_marinus	Unknown
Acetobacter_okinawensis	Unknown
Acetobacter_papayae	Unknown
Acetobacter_pomorum	Unknown
Acholeplasma_equifetale	Unknown
Acholeplasma_granularum	Unknown
Acidimicrobium_ferrooxidans	Unknown
Acidithiobacillus_thiooxidans	Unknown
Proteus_sp	Unknown
Acinetobacter_guillouiae	Unknown
Psychrobacillus_insolitus	Unknown
Actinokineospora_enzanensis	Unknown
Actinokineospora_inagensis	Unknown
Actinomyces_graevenitzii	Unknown
Serratia_sp	Unknown
Actinomyces_oris	Unknown
Dyella_sp	Unknown
Actinoplanes_sp	Unknown
Actinopolyspora_mortivallis	Unknown
Aerococcus_urinaeequi	Unknown
Afipia_birgiae	Unknown
Paenibacillus_bovis	Unknown
Solibacillus_isronensis	Unknown
Bradyrhizobium_icense	Unknown
Pseudarthrobacter_siccitolerans	Unknown
Mycolicibacter_terrae	Unknown
Demequina_lutea	Unknown
Flavobacterium_aurantiibacter	Unknown
Anaerolinea_thermolimosa	Unknown
Fictibacillus_sp	Unknown
Cupriavidus_taiwanensis	Unknown
Agrobacterium_radiobacter	Unknown
Pseudomonas_rhodesiae	Unknown
Corynebacterium_humireducens	Unknown
Microbacterium_paludicola	Unknown
Pseudomonas_flexibilis	Unknown
Thalassoglobus_polymorphus	Unknown
Microbacterium_ureisolvens	Unknown
Photobacterium_chitinilyticum	Unknown
Aurantiacibacter_gangjinensis	Unknown
Pelagerythrobacter_aerophilus	Unknown
Cupidesulfovibrio_termitidis	Unknown
Rhodocyclus_purpureus	Unknown
Dietzia_papillomatosis	Unknown
Psychrobacter_arenosus	Unknown
Nocardioides_luteus	Unknown
Mannheimia_pernigra	Unknown
Lapidilactobacillus_concavus	Unknown
Lapidilactobacillus_achengensis	Unknown
Lactobacillus_bombintestini	Unknown
Pseudofulvimonas_gallinarii	Unknown
Sulfurirhabdus_autotrophica	Unknown
Calorimonas_adulescens	Unknown
Halomonas_venusta	Unknown
Hymenobacter_gummosus	Unknown
Microbacterium_lemovicicum	Unknown
Ochrobactrum_daejeonense	Unknown
Robinsoniella_peoriensis	Unknown
Pandoraea_vervacti	Unknown
Sphaerisporangium_siamense	Unknown
Mycolicibacter_heraklionensis	Unknown
Teredinibacter_franksiae	Unknown
Neptunicella_marina	Unknown
Demequina_mangrovi	Unknown
Salinispora_cortesiana	Unknown
Clostridium_aceticum	Unknown
Belliella_aquatica	Unknown
Alsobacter_metallidurans	Unknown
Subtercola_lobariae	Unknown
Thalassomonas_viridans	Unknown
Listeria_booriae	Unknown
Litoreibacter_arenae	Unknown
